id,url or alias text,referring record id,number of referrals,type,associated publisher,tags,name/title,language,authors,date of publication,plain text,image reference,anchor text,
75d3db48-c748-5be4-bf5b-c13db430c0f2,@intifada,614845408452472832 490380221544034304 ,2,twitter handle,null,Referring ,Electronic Intifada,null,null,null,null,null,null,
fb89429b-f929-5e65-af9a-1ef0d8a16c68,https://www.ft.com,502563211019694080 476095331940458496 408660722885726208 342281434893000704 294837338046091265 128996398300528641 319866980767260672 459741886031212544 302758508040974336 161923708976496640 527795758100017152 203598800433053697 333801115231584258 279861398627041281 638146766815145985 310157136409808896 306478354859692032 606912441558138881 320956826097164289 512705645749891072 727429515920691200 672529814926921728 329938310669684738 313799102620110849 317967973153398784 187629232220930048 595819971034402817 422724847794282496 411077356321665024 327313116318822400 145542965782261760 638717934567878656 160020048671539201 552240436811550720 533001289148280832 474598230492053504 139533571659538432 422128725702877184 445117049631944704 410619642864861184 1042066430706024450 652546563504521216 246561286480089088 208319630081662977 522476232345001984 341927713835188224 287225656167763968 341925469098229760 212897713166094336 200331073060732928 195648154702577664 226274383809892352 193634635538898944 750532510019379200 450870602694279168 438937994418847745 320127504302080000 162770554850512896 298580027363172353 958852247479312384 522847964192976896 512237644323901440 469902120401924096 445622035822043137 183316274653306880 464804981317853184 516925818858004481 541934653335035905 506818295954022400 375605545299742720 543420024867024898 364808891374112769 750383030334873605 561920766430969856 297019070665072640 282214507303022592 265858554756464640 256104603723124736 207626671048753152 243622853440860160 502332691098767360 194543459594547200 656554596916142080 532973129614622720 430304154884780032 335413706752139264 327019625164447744 321614588443521024 285068808450875392 294884047673507841 335400950690873345 707213370227818496 459367622862061568 415164303071649792 228967649286172672 200222407607328768 750378686373912576 421391241482235905 399901052486430721 329265064748134401 263719021654978560 238744377227358208 169411512069398528 549198890696966144 464498953883365376 400965822669021184 464541243460947968 256108505356980224 407892768535490560 337651667141009408 327807672189583361 324247768690479104 316641261014614016 199496161881624577 189419676131016705 187028242534899712 286986865775616001 222876539174404098 135061964740231168 423395632364003329 397305474304860160 528178733996572672 362076779793485825 465092298087231488 583020524500082688 553661468718034946 235484127409881088 360371213970841602 245534737509261312 198140068030980096 499924383578603520 138543137160310784 679254611937656832 391492304227155968 436589658718228480 520535668955435008 344866452089737216 330042825318203392 703909880097333248 276496245290303488 257680863423242240 204415753242427392 215738480200912896 406227947805106176 440557837945544704 313747190843596800 137563748419371008 132485190542041089 374806158885650432 336559656174505984 298767599293050880 291935305961992193 773310103378391044 390911054630232065 264364064539553794 532524036866068480 532557485131837440 508588909333209088 637340611436220417 492625464242884608 453963892335468545 337040169322557441 638840589769904128 563460438453936130 560184342560141312 515233061328269312 526889090638049280 394234531663736832 530000026152742912 311284325243052034 300763759423668225 664131873585700864 330060421618864128 208274108960620545 529444224542834688 474455560121630720 366113592749207552 339421904005914624 263497062673416192 601728114171973634 586608421794881536 302539685069221888 405480604776407040 509984310326468608 275589708703211520 572494208839237632 526770333211049985 224696267131990017 466247790033518592 460868355306430465 433248191236939776 342222950696615937 468477015805292544 342327934448717824 320248972193189888 256502735862644736 254350465058344960 253490323882389504 217320566737207298 209760409866088448 202227006568534017 187028153569509377 132091922251649026 560670047442444288 511314458027630592 575055076470964224 515151629218103297 227480323162767360 163127007687868416 211141451793440769 620646436103979012 547007431336017920 261495382587097088 720620122302492676 699389148399079424 322522314614902785 355718240783171585 275589991147646977 347656552754315264 542028076800946176 520198443357048833 661847430330253312 565604906074402816 263104232306122752 588677960800010242 542563374668582913 159738916256235520 497212069532278784 264362785696264193 528137877289312257 513049928722292736 534813544009973760 202358960454512642 631075593304567808 321676278572912640 235067510171504640 187315076838080512 414922002353250304 579816621318926336 124303508236275712 312156737861996544 751666985986060288 354367421005565952 419386434228076544 317031927246905344 288267340389441536 392486014960140288 307216856232640512 638779230055231492 324976797349470208 314811085955932160 298803408113111040 255718771925323776 190126023373881344 365199568805183490 176564565801320449 133953830403575808 526748631978614786 342613827558465536 370194103729799169 337533728135983105 327312699199483904 624184956454076420 472445384581582848 445943534923702272 610101600925958144 665561246272327680 440883712406740992 293633210355707904 282993485919948800 443120267741917185 222484431649247233 650332034422935552 526889250009006082 ,274,domain,Financial Times,center Referring International Europe ,Financial Times,null,null,null,null,null,null,
b6f19a93-ae89-5564-9246-6b9428bfffb1,http://www.foxnews.com,10282709857 64889403692154881 ,2,domain,Fox News,right-center Referring International NAmerica ,Fox News,null,null,null,null,null,null,
3db8013f-f577-5293-8b1e-49d90e674ba6,@JewishJournal,292241294720385024 646336522795528192 ,2,twitter handle,null,Referring ,Jewish Journal,null,null,null,null,null,null,
aacabd64-700c-55a0-97f9-c853542b6754,@JTAnews,212937566494789632 1217185715936776199 1317077985334337536 1406979485577236487 619858539218079744 1204614692519469056 71307285862957056 1217222716014481408 478960819246739457 1234868113923022849 1243548574123732993 ,11,twitter handle,null,Referring ,JTA | Jewish news,null,null,null,null,null,null,
eac53488-20c0-50cf-90e6-7a71924c9f7b,@jstreetdotorg,2865011224 9204257341 1188822150859415553 562267337756532736 2076686185 22566603741 1112477144993665024 439412966203863040 180008063984603136 5171920166 621396755444314116 1882971949 306867947140435969 22912408124 1149106515799752705 628591705814663168 461637274690928640 1111315970826649600 260406930898554881 62580746254163968 4890847161 461644480958189568 4921485500 81755785570426880 466668551219474432 461636288823963649 1188833298006630401 581168931534159874 461635327396831233 810159698112643072 2313855539 461640346515292160 461686574971748352 461523425312247808 975685915275415552 266651767087976448 461635762359107585 10877239069 461578511862362113 461641315751821312 3555312689 1739174415 461931121228673025 1163806037817864192 81758024372461569 3871174177 ,46,twitter handle,null,Referring ,J Street,null,null,null,null,null,null,
1fa4a78d-25d9-5ccf-8566-031aafcf19a2,lexpress.fr,310117227246534658 199436510334951425 ,2,domain,L'Express,Referring International Europe ,L'Express,null,null,null,null,null,null,
75996454-a7ab-5d0e-ab9e-db0075f69ae0,http://latimes.com,3274696763 3277635504 3277016451 ,3,domain,LA Times,left-center Referring International NAmerica ,LA Times,null,null,null,null,null,null,
885f8012-fec0-5f4e-9b1f-c58ceb4bd882,https://www.lemonde.fr,159471176119357442 ,1,domain,Le Monde,Referring International Europe ,Le Monde,null,null,null,null,null,null,
79388ac9-3256-5641-80e7-260ecd98a079,@MiddleEastMnt,396020381674254336 1025377968586145792 1111287828145672192 693130004033597440 438989389080035328 ,5,twitter handle,null,Referring ,Middle East Monitor,null,null,null,null,null,null,
