id,hit count,url or alias text,source,name,tags,publisher,referring record id,authors,plain text,type,date of publication,top referrals,
5.58393E+17,null,https://twitter.com/DavidWaldstein/status/558393450782269441,davidwaldstein,null,,null,,null,can't believe how much nrg &amp; time is being exerted on deflated footballs. People comparing it to the Saints intentionally injuring people??,twitter,2015-01-22,null,null
5.42051E+17,null,https://twitter.com/sheeraf/status/542050723035246592,sheeraf,null,,null,,null,@LahavHarkov I think listicles have had a home in Israeli politics for a long time... including at the jpost.,twitter,2014-12-08,null,null
5.39065E+17,null,https://twitter.com/rcallimachi/status/539065208338386945,rcallimachi,null,,null,,null,Jerusalem Post cites jihadi websites 2say Israeli Canadian Gill Rosenberg kidnapped by ISIS. Went 2 fight w Kurds  http://t.co/2riJPI6gEL,twitter,2014-11-30,null,null
5.30552E+17,null,https://twitter.com/GlennThrush/status/530552221701009409,glennthrush,null,,null,,null,So they gotta change the name? MT @apalmerdc: Big news on K ST: Steve McBee is leaving McBee Strategic for NRG.”,twitter,2014-11-07,null,null
4.84807E+17,null,https://twitter.com/risenc/status/484806839507628033,risenc,null,,null,,null,Laguardia - blue skies all flts cancelled but at least they're saving nrg by not running the AC. #lgasucks,twitter,2014-07-03,null,null
4.5675E+17,null,https://twitter.com/DanBilefsky/status/456750122018566144,danbilefsky,null,,null,,null,@LawFavF Jerusalem Post story says Russian separatists denied distributing it. It could be a provocation reports say.,twitter,2014-04-17,null,null
4.07926E+17,null,https://twitter.com/LFFriedman/status/407925981593083904,lffriedman,null,,null,,null,NRG finds installing chargers in Calif. harder and slower than it bargained for - @debra_kahn in ClimateWire:  http://t.co/ZH5JFvnaZ7,twitter,2013-12-03,null,null
3.72697E+17,null,https://twitter.com/michaelroston/status/372696843362508801,michaelroston,null,,null,,null,Gas mask practice on the front page of Israel's Maariv beneath dour Assad Netanyahu  http://t.co/5JsMnZpS7I,twitter,2013-08-28,null,null
3.58525E+17,null,https://twitter.com/DanBilefsky/status/358525453612494848,danbilefsky,null,,null,,null,Hyperbole? A trenchant piece in Jerusalem Post asks if #Erdogan is the new Ahmadinejad? http://t.co/geyhFi0NIa,twitter,2013-07-20,null,null
3.37658E+17,null,https://twitter.com/carolynryan/status/337657678325239808,carolynryan,null,,null,,null,Dr. Ruth Westheimer and BiBi Netanyahu make Jerusalem Post's 50 most influential Jews list  http://t.co/rdWpY2LRIU,twitter,2013-05-23,null,null
3.22393E+17,null,https://twitter.com/TheSteinLine/status/322392713016262656,thesteinline,null,,null,,null,RT @AllonSinai: Israel to play Belgium in Davis Cup World Group playoffs -  http://t.co/0n23wsjjq0 #jpost,twitter,2013-04-11,null,null
3.05674E+17,null,https://twitter.com/benyt/status/305674406334697472,benyt,null,,null,,null,The JPost's Purim story has the EU criticizing Settlers of Cataan cc @michellemalkin @nycsouthpaw  http://t.co/Q4lhrYLOtv,twitter,2013-02-24,null,null
2.90207E+17,null,https://twitter.com/maggieNYT/status/290206688273903616,maggienyt,null,,null,,null,JPost on Rand Paul trip to Israel  http://t.co/sDp73D63,twitter,2013-01-12,null,null
2.89729E+17,null,https://twitter.com/michaelroston/status/289728598091366400,michaelroston,null,,null,,null,Snowy Israel on the front page of Maariv  http://t.co/KPiKPMOs,twitter,2013-01-11,null,null
2.87333E+17,null,https://twitter.com/jmartNYT/status/287332862473158658,jmartnyt,null,,null,,null,RT @JRCarrollCJ: KY Sen. #RandPaul a critic of US foreign aid scheduled to arrive in Israel for first visit Sunday Jerusalem Post reports,twitter,2013-01-04,null,null
2.70525E+17,null,https://twitter.com/GlennThrush/status/270525202046255104,glennthrush,null,,null,,null,RT @tovahlazaroff Israel Radio reporting a cease fire has been reached. #JPost,twitter,2012-11-19,null,null
2.70276E+17,null,https://twitter.com/sheeraf/status/270275548067033088,sheeraf,null,,null,,null,@acarvin @SafaJoudeh Nope. Palestinian media mis-translated a story  just up in Hebrew on NRG about how 3 died last week in KiryatMalachi.,twitter,2012-11-18,null,null
2.69442E+17,null,https://twitter.com/michaelroston/status/269442056273928192,michaelroston,null,,null,,null,You don't need to read Hebrew to get what Israel's Maariv is saying on its front page  http://t.co/30HYZkN8,twitter,2012-11-16,null,null
2.69067E+17,null,https://twitter.com/michaelroston/status/269067383430320128,michaelroston,null,,null,,null,"The Jerusalem Post's front page intones: ""The battle for the South has begun""  http://t.co/P9GqNXXD",twitter,2012-11-15,null,null
2.69067E+17,null,https://twitter.com/michaelroston/status/269067028462198784,michaelroston,null,,null,,null,Car in which Jabari was killed burns on Maariv's front page  http://t.co/StN9fhjg,twitter,2012-11-15,null,null
