id,hit count,url or alias text,source,name,tags,publisher,referring record id,authors,plain text,type,date of publication,top referrals,https://www.nytimes.com/,
231004389429620737,null,https://twitter.com/michaelroston/status/231004389429620737,michaelroston,null,,null,,null,Performing to "Hava Nagila" gets Aly Raisman on the front page of Haaretz  http://t.co/nsL443CO,twitter,2012-08-02,null,null,
199517292470607873,null,https://twitter.com/michaelroston/status/199517292470607873,michaelroston,null,,null,,null,Ha'aretz's Web site is launching a paywall,twitter,2012-05-07,null,null,
187774962457772032,null,https://twitter.com/michaelroston/status/187774962457772032,michaelroston,null,,null,,null,@cerenomri if only Ha'aretz's site design was more stable. dang video ad keeps crashing my browser,twitter,2012-04-05,null,null,
134539985935269888,null,https://twitter.com/michaelroston/status/134539985935269888,michaelroston,null,,null,,null,Here's Haaretz on Israel's Supreme Court ruling against Katsav's appeal of his rape conviction  http://t.co/KxsnpCPI,twitter,2011-11-10,null,null,
875334506164744193,null,https://twitter.com/StevenErlanger/status/875334506164744193,stevenerlanger,null,,null,,null,Important depressing Haaretz piece. Settler figures near 400000 with outposts and east jerusalem 600000 plus.  https://t.co/NXjcHHJCMd,twitter,2017-06-15,null,null,
963078873419272192,null,https://twitter.com/mschwirtz/status/963078873419272192,mschwirtz,null,,null,,null,Israel came within "a hair's breath" of war with Iran and Syria before Putin stepped in to ease tensions Haaretz report says. Meanwhile the US "remains the region’s present absentee."  https://t.co/xs1N6rqrUj,twitter,2018-02-12,null,null,
298044534338760705,null,https://twitter.com/Abihabib/status/298044534338760705,abihabib,null,,null,,null,#Turkey FM denounces Syria's Assad for not responding to alleged Israeli strike - Haaretz - #syria #Israel  http://t.co/98KIVfWJ,twitter,2013-02-03,null,null,
296880894130675712,null,https://twitter.com/Abihabib/status/296880894130675712,abihabib,null,,null,,null,Interesting analysis from Haaretz on #Israel strike in #Syria and #Hezbollah --  http://t.co/70MqJph5 #LEbanoe,twitter,2013-01-31,null,null,
254783564850278400,null,https://twitter.com/Abihabib/status/254783564850278400,abihabib,null,,null,,null,The immediate suspect behind the drone that penetrated #Israel: #Hezbollah  - Haaretz Israeli News source.  http://t.co/E7PgQ1km,twitter,2012-10-07,null,null,
554514802610290688,null,https://twitter.com/MujMash/status/554514802610290688,mujmash,null,,null,,null,French president Hollande asked Israeli PM Netanyahu not to attend Paris memorial march - Haaretz has details  http://t.co/aAYFMKns9L,twitter,2015-01-12,null,null,
164259695912173568,null,https://twitter.com/MujMash/status/164259695912173568,mujmash,null,,null,,null,"Netanyahu has turned #Iran nuke threat into an impressive ploy to distract attention from settlement policy" Haaretz  http://t.co/sHU9ssn4,twitter,2012-01-31,null,null,
160767482397868032,null,https://twitter.com/MujMash/status/160767482397868032,mujmash,null,,null,,null,Threats against #Iran are harmful-Haaretz  http://t.co/UNcC6zEJ  "dont think that if US attacks we'll continue to have good time in Tel Aviv",twitter,2012-01-21,null,null,
160734197496033280,null,https://twitter.com/MujMash/status/160734197496033280,mujmash,null,,null,,null,US Jewish paper:"Netanyahu consider ordring Mossad assassinate #Obama-succesor will defend #Israel agnst #Iran" Haaretz  http://t.co/oZSdZri7,twitter,2012-01-21,null,null,
66270745730359296,null,https://twitter.com/MujMash/status/66270745730359296,mujmash,null,,null,,null,#Palestinian unity is an opportunity not a threat - Haaretz Daily Newspaper | Israel News  http://t.co/dKMJVnp via @AddThis,twitter,2011-05-05,null,null,
1187107758555967488,null,https://twitter.com/AsteadWesley/status/1187107758555967488,asteadwesley,null,,null,,null,@elisefoley honestly the ring. the marker. the fact that it's a whole bunch of other people's tweets also just printed out. layers of greatness to this photo,twitter,2019-10-23,null,null,
376903818811678720,null,https://twitter.com/NickFoxNYT/status/376903818811678720,nickfoxnyt,null,,null,,null,Haaretz:Iran and Russia are promoting  a diplomatic compromise that could prevent an American attack on Syria.  http://t.co/Mcri4HDITf,twitter,2013-09-09,null,null,
522583704187592704,null,https://twitter.com/EllenBarryNYT/status/522583704187592704,ellenbarrynyt,null,,null,,null,Haaretz report: 1 Israeli dead 5 injured in Nepal blizzard Israeli ForMin confirms. 170 hikers on route; 60 rescued  http://t.co/VcGMOSh1ge,twitter,2014-10-16,null,null,
