UniqueID,Source,RSS feed URLs (where available),Type,Tags,Location,Associated Twitter Handle,Name,Text aliases,Associated Publisher
202,@AviMayer,,Twitter Handle,Twitter Journalists,Israel,,Avi Mayer,"""Avi Mayer""",
203,@PresidentRuvi,,Twitter Handle,Twitter Journalists,Israel,,Reuven Rivlin,"""Reuven Rivlin""",
204,@AvivaKlompas,,Twitter Handle,Twitter Journalists,"Canada, Israel, USA",,Aviva Klompas,"""Aviva Klompas""",
205,@TheMossadIL,,Twitter Handle,Twitter Journalists,Israel,,The Mossad,"""The Mossad""",
206,@acandidworld,,Twitter Handle,Twitter Journalists,Germany,,Andrew Mark Bennett,"""Andrew Mark Bennett""",
207,@IsraelinBoston,,Twitter Handle,Twitter Journalists,USA,,Israel in Boston,"""Israel in Boston""",
208,@GnasherJew,,Twitter Handle,Twitter Journalists,England,,GnasherJew #LeftAntisemitism,"""GnasherJew #LeftAntisemitism""",
209,@telushk,,Twitter Handle,Twitter Journalists,,,Tevye West,"""Tevye West""",
210,@TheAltWorld,,Twitter Handle,Twitter Journalists,,,The Alternative World,"""The Alternative World""",
211,@IsraelNewsLinks,,Twitter Handle,Twitter Journalists,USA,,Israel News Links,"""Israel News Links""",
212,@STWuk,,Twitter Handle,Twitter Journalists,UK,,Stop the War,"""Stop the War""",
213,@FAApartheid,,Twitter Handle,Twitter Journalists,,,Football-V-Apartheid,"""Football-V-Apartheid""",
214,@ProIsraelAm,,Twitter Handle,Twitter Journalists,,,Pro-Israel America,"""Pro-Israel America""",
215,@sarah4dems,,Twitter Handle,Twitter Journalists,USA,,Sarah R. Cohen,"""Sarah R. Cohen""",
216,@RabbiShmuley,,Twitter Handle,Twitter Journalists,USA,,Rabbi Shmuley,"""Rabbi Shmuley""",
217,@IMTIzionism,,Twitter Handle,Twitter Journalists,Israel,,Im Tirtzu,"""Im Tirtzu""",
218,@GippersChutzpah,,Twitter Handle,Twitter Journalists,Israel,,(((Emily Schrader))),"""Emily Schrader""",
219,@Gil_Hoffman,,Twitter Handle,Twitter Journalists,Israel,,Gil Hoffman,"""Gil Hoffman""",
220,@jasmineelgamal,,Twitter Handle,Twitter Journalists,Turkey,,Jasmine El-Gamal,"""Jasmine El-Gamal""",
221,@JackRosenNYC,,Twitter Handle,Twitter Journalists,USA,,Jack Rosen,"""Jack Rosen""",
222,@WorldJewishCong,,Twitter Handle,Twitter Journalists,Worldwide,,WJC,"""WJC""",
223,@Pal123A,,Twitter Handle,Twitter Journalists,,,Alpha Bravo,"""Alpha Bravo""",
224,@JaySouria,,Twitter Handle,Twitter Journalists,Levant,,جاي,"""""",
225,@Tweetisrael,,Twitter Handle,Twitter Journalists,,,Israel Forever,"""Israel Forever""",
226,@ZionistActivist,,Twitter Handle,Twitter Journalists,Israel,,Zionist Activist,"""Zionist Activist""",
227,@ZionistShark,,Twitter Handle,Twitter Journalists,,,Zionist Shark,"""Zionist Shark""",
228,@afagerbakke,,Twitter Handle,Twitter Journalists,Norway,,Andreas Fagerbakke,"""Andreas Fagerbakke""",
229,@solid_jews,,Twitter Handle,Twitter Journalists,,,Matzah and Roses,"""Matzah and Roses""",
230,@JFREJNYC,,Twitter Handle,Twitter Journalists,USA,,Jews for Racial & Economic Justice,"""Jews for Racial & Economic Justice""",
231,@Israelkicksass,,Twitter Handle,Twitter Journalists,Israel,,Israel Kicks Ass,"""Israel Kicks Ass""",
